4;45;1;1;1;1;
5;17;0;0;1;1;
5;54;1;0;1;1;
1;66;0;1;1;1;
5;48;1;0;1;1;
0;11;1;1;1;1;
4;17;0;1;1;1;
1;86;0;1;1;1;
1;84;1;0;1;1;
5;59;0;0;1;1;
4;18;1;0;1;1;
2;13;0;0;1;1;
4;47;0;0;1;1;
4;63;1;0;1;1;
5;46;0;1;1;1;
1;69;1;1;1;1;
5;36;1;0;1;1;
5;14;1;1;1;1;
1;79;1;0;5;1;
0;8;1;0;5;1;
4;23;0;1;5;1;
5;35;0;1;5;1;
1;93;0;1;5;1;
5;28;1;1;5;1;
0;8;0;0;5;1;
1;78;0;0;5;1;
0;6;0;0;5;1;
4;21;1;0;5;1;
1;74;1;1;5;1;
2;25;0;0;5;1;
1;69;0;0;5;1;
5;55;1;1;5;1;
5;31;0;1;5;1;
2;39;1;0;5;1;
1;94;0;0;5;1;
1;74;0;0;5;1;
2;19;1;1;9;1;
1;65;1;0;9;1;
2;18;0;0;9;1;
1;73;1;1;9;1;
0;10;0;1;9;1;
5;42;1;1;9;1;
4;25;0;1;9;1;
2;38;0;1;9;1;
3;20;1;0;9;1;
2;41;0;1;9;1;
5;21;0;0;9;1;
2;18;0;1;9;1;
5;32;1;0;9;1;
1;97;1;0;9;1;
3;61;0;1;9;1;
4;49;0;0;9;1;
4;19;0;0;9;1;
1;80;1;0;9;1;
3;23;1;1;13;1;
1;78;1;1;13;1;
2;24;0;1;13;1;
0;7;0;0;13;1;
5;58;0;1;13;1;
1;67;0;0;13;1;
5;22;1;0;13;1;
1;94;0;0;13;1;
1;72;0;1;13;1;
2;39;1;1;13;1;
0;7;1;0;13;1;
1;77;0;0;13;1;
2;15;0;1;13;1;
1;97;1;1;13;1;
3;25;1;0;13;1;
1;89;1;0;13;1;
5;39;1;0;13;1;
3;56;0;1;13;1;
2;23;0;1;17;1;
2;25;0;1;17;1;
2;47;1;0;17;1;
3;32;0;1;17;1;
3;62;1;0;17;1;
0;8;0;0;17;1;
1;93;0;1;17;1;
1;74;1;0;17;1;
0;10;0;1;17;1;
3;34;1;1;17;1;
0;3;1;0;17;1;
2;45;1;1;17;1;
3;13;0;1;17;1;
0;5;1;0;17;1;
1;95;0;0;17;1;
1;80;1;1;17;1;
0;2;1;0;17;1;
5;22;1;0;17;1;
0;6;1;1;21;1;
1;85;1;0;21;1;
2;24;1;0;21;1;
3;50;1;0;21;1;
1;86;1;0;21;1;
2;20;0;0;21;1;
1;70;1;1;21;1;
5;14;1;1;21;1;
5;24;1;1;21;1;
5;34;0;0;21;1;
4;54;0;1;21;1;
1;84;0;0;21;1;
4;13;0;1;21;1;
1;66;1;0;21;1;
2;53;1;1;21;1;
1;93;1;0;21;1;
1;69;1;1;21;1;
3;51;0;0;21;1;
5;55;0;0;25;1;
1;88;1;1;25;1;
5;16;1;0;25;1;
1;70;1;1;25;1;
1;74;0;0;25;1;
2;64;1;1;25;1;
5;40;0;0;25;1;
1;77;1;0;25;1;
0;11;0;1;25;1;
