0;8;0;0;14;7;
2;56;0;0;6;7;
1;65;1;1;8;6;
2;30;1;1;28;6;
3;16;0;0;8;12;
5;16;0;0;20;12;
2;42;1;1;9;2;
2;64;1;1;2;12;
1;76;0;1;10;12;
4;18;1;1;26;6;
3;45;1;1;1;4;
3;36;1;0;15;5;
5;14;1;0;4;6;
2;24;0;1;20;3;
1;65;1;0;20;10;
1;82;1;1;13;2;
5;45;0;1;14;10;
1;96;1;0;24;4;
3;30;0;1;8;10;
1;99;1;0;28;9;
1;74;0;1;25;3;
0;12;0;0;7;9;
3;54;1;1;14;11;
2;18;1;1;22;6;
1;97;1;0;9;10;
2;34;1;1;3;1;
5;35;0;0;16;8;
3;48;0;1;25;5;
3;27;0;1;15;10;
5;31;1;0;21;7;
1;95;1;1;19;10;
1;67;1;1;20;11;
5;49;0;1;20;7;
5;26;0;1;3;6;
1;88;0;1;13;5;
3;47;1;1;24;4;
4;28;1;0;16;9;
0;10;0;1;12;11;
1;95;1;0;24;10;
5;13;0;1;11;6;
0;4;1;1;12;8;
0;10;1;1;23;8;
4;29;1;1;7;5;
2;15;1;1;26;12;
3;14;1;0;27;2;
1;71;0;1;22;8;
4;49;0;1;23;12;
4;18;0;0;21;10;
1;90;1;1;1;1;
4;61;1;1;3;11;
1;87;0;0;9;3;
4;51;0;1;18;7;
0;6;1;1;12;7;
5;58;1;1;2;5;
1;68;1;1;7;6;
1;86;0;1;11;8;
2;46;0;1;5;11;
1;72;1;0;19;6;
3;27;0;0;18;5;
4;42;0;1;8;6;
0;9;1;1;3;1;
1;99;0;1;23;2;
1;86;0;1;6;12;
5;38;0;0;14;1;
0;7;1;1;19;4;
1;77;1;1;1;8;
5;32;1;1;6;10;
4;60;1;0;23;1;
2;55;0;0;3;9;
1;80;1;0;9;8;
0;12;0;1;22;1;
1;82;0;0;22;1;
4;61;0;1;6;3;
4;32;0;1;21;5;
0;12;0;0;10;8;
1;82;1;0;21;10;
5;38;0;0;2;12;
3;15;0;0;3;5;
1;79;1;0;5;2;
0;8;0;0;20;9;
2;24;0;1;2;12;
4;30;0;0;15;1;
0;1;0;1;3;7;
0;1;1;1;10;6;
2;55;0;1;15;7;
1;90;1;1;28;4;
1;72;0;0;26;1;
1;80;1;1;8;7;
1;97;1;1;2;11;
5;13;0;1;11;3;
1;83;0;0;3;7;
2;52;1;1;7;7;
1;94;0;1;25;8;
1;94;0;0;27;7;
3;36;1;0;13;11;
1;80;1;0;22;12;
2;19;1;1;28;8;
5;32;1;1;27;5;
0;3;1;0;8;8;
5;48;0;1;8;5;
